root_id,nucleus_id,volume,clf_type,cell_type,mtype,axon_length,dendrite_length,max_dend_y_path_dist_to_soma,max_dend_y_euclid_dist_to_soma,ds_num_of_incoming_synapses,ds_num_of_outgoing_synapses,ds_incoming_syn_mean_weight,ds_outgoing_syn_mean_weight,ds_incoming_syn_sum_weight,ds_outgoing_syn_sum_weight,ds_incoming_syn_std_weight,ds_outgoing_syn_std_weight,num_of_incoming_synapses,num_of_outgoing_synapses,num_of_incoming_neurons,num_of_outgoing_neurons,num_of_ex_incoming_synapses,num_of_ex_outgoing_synapses,num_of_inh_incoming_synapses,num_of_inh_outgoing_synapses,num_of_ex_incoming_neurons,num_of_inh_incoming_neurons,incoming_syn_mean_weight,incoming_syn_sum_weight,incoming_syn_std_weight,outgoing_syn_mean_weight,outgoing_syn_sum_weight,outgoing_syn_std_weight,ex_incoming_syn_mean_weight,ex_incoming_syn_sum_weight,ex_incoming_syn_std_weight,ex_outgoing_syn_mean_weight,ex_outgoing_syn_sum_weight,ex_outgoing_syn_std_weight,inh_incoming_syn_mean_weight,inh_incoming_syn_sum_weight,inh_incoming_syn_std_weight,inh_outgoing_syn_mean_weight,inh_outgoing_syn_sum_weight,inh_outgoing_syn_std_weight,pt_position_x,pt_position_y,pt_position_z,pt_position_xt,pt_position_yt,pt_position_zt,ei_incoming_ratio_norm,ei_incoming_ratio,ei_incoming_sum_of_weights_ratio_norm,ei_incoming_sum_of_weights_ratio,er_incoming_partners_ratio_norm,incoming_synapses_in_vol_prop,ds_incoming_synapses_density,incoming_synapses_per_contact,ds_outgoing_synapses_density,incoming_contacts_density,ex_incoming_contacts_density,inh_incoming_contacts_density,incoming_synapses_density,ex_incoming_synapses_density,inh_incoming_synapses_density,incoming_multiple_contacts_ratio,ex_incoming_multiple_contacts_ratio,inh_incoming_multiple_contacts_ratio
864691136274712254,307089,315.33416448,E,6P-IT,L6short-b,5268.365234375,2791.5634765625,577.6642571240664,524.1583513265704,2958,467,7188.967,6287.957,21264964.0,2936476.0,6966.1035,6322.2793,41,31,24,20,15,13,26,18,13,11,5443.0244,223164.0,3941.1074,6174.5806,191412.0,4120.849,6250.933,93764.0,4098.79,4545.84619140625,59096.0,4697.32080078125,4976.9228515625,129400.0,3769.23193359375,7350.888671875,132316.0,3163.927490234375,182912,232112,22720,647.9442834268518,592.0112677134392,908.8000000000003,0.36585365853658536,0.5769230769230769,0.4201573730530014,0.7246058732612055,0.5416666666666666,0.013860716700473293,1.0596212569890935,1.7083333333333333,0.08864229779532387,0.008597332713907451,0.004656888553366536,0.003940444160540915,0.01468711005292523,0.005373332946192157,0.009313777106733073,1.7083333333333333,1.1538461538461537,2.3636363636363638
864691136742623580,307056,293.53017344,E,6P-IT,L6short-a,4980.8798828125,2915.28564453125,230.9165703356266,192.75244583541317,2443,418,7649.8647,6004.8994,18688620.0,2510048.0,7324.4395,5288.1465,48,25,22,19,11,11,37,14,9,13,3350.6667,160832.0,2636.5269,4927.04,123176.0,3374.0027,3892.3635,42816.0,3116.3926,4934.54541015625,54280.0,4051.04150390625,3189.62158203125,118016.0,2453.03369140625,4921.14306640625,68896.0,2726.53515625,194816,232560,21991,695.2229070801845,597.946456459092,879.6400000000002,0.22916666666666666,0.2972972972972973,0.2662156784719459,0.3627982646420824,0.4090909090909091,0.019647973802701595,0.8379967858665222,2.1818181818181817,0.08392091554795182,0.007546430327082885,0.0030871760428975437,0.004459254284185341,0.016464938895453567,0.0037732151635414424,0.012691723731912125,2.1818181818181817,1.2222222222222223,2.8461538461538463
864691136488621842,307239,229.93027072,E,6P-IT,L6tall-b,3453.24169921875,2251.32080078125,474.1348076313734,413.49684633141794,2451,331,6693.6597,5771.2993,16406160.0,1910300.0,5992.9814,6006.2964,39,35,29,29,22,21,17,14,19,10,6374.769,248616.0,5936.5986,5293.2573,185264.0,4882.0093,8223.637,180920.0,7116.3296,5851.0478515625,122872.0,5703.75439453125,3982.11767578125,67696.0,2273.033447265625,4456.5712890625,62392.0,3101.463134765625,194944,238544,24036,693.6467989071996,621.8359964929027,961.4400000000003,0.5641025641025641,1.2941176470588236,0.727708594780706,2.672536043488537,0.6551724137931034,0.01591187270501836,1.0886942452401531,1.3448275862068966,0.09585196427892213,0.012881327259063418,0.008439490273179482,0.004441836985883937,0.017323164244947356,0.009772041368944662,0.0075511228760026935,1.3448275862068966,1.1578947368421053,1.7
864691136090728503,309208,251.95446272,E,6P-IT,L6tall-b,1378.512939453125,2043.58642578125,429.83285787701607,314.5356420044573,2002,111,6430.088,4850.5586,12873036.0,538412.0,5971.801,5711.845,28,19,23,16,21,13,7,6,20,3,3229.1428,90416.0,1693.5184,3993.8948,75884.0,3272.5835,3199.0476,67180.0,1849.8903,4028.3076171875,52368.0,3868.261962890625,3319.428466796875,23236.0,1093.100341796875,3919.333251953125,23516.0,1218.7850341796875,182448,249728,22643,639.9540038102225,662.045369861236,905.7200000000003,0.75,3.0,0.7430100867103168,2.891203305216044,0.8695652173913043,0.013986013986013986,0.9796502730412531,1.2173913043478262,0.0805215510302248,0.011254723416557852,0.009786716014398133,0.00146800740215972,0.013701402420157386,0.010276051815118039,0.0034253506050393465,1.2173913043478262,1.05,2.3333333333333335
864691136742708828,344421,223.86540544,E,6P-IT,L6tall-b,1007.898193359375,2034.74951171875,518.0904984362423,334.19117604708265,1555,63,5410.971,4055.6826,8414060.0,255508.0,4933.448,3731.5176,27,14,22,14,19,13,8,1,17,5,4128.8887,111480.0,3693.9797,2815.7144,39420.0,3578.6057,4249.263,80736.0,4111.742,1969.230712890625,25600.0,1939.084228515625,3843.0,30744.0,2405.121826171875,13820.0,13820.0,0.0,196640,250944,23916,696.0820588987701,671.8385180770537,956.6400000000002,0.7037037037037037,2.375,0.7242195909580194,2.6260733801717406,0.7727272727272727,0.017363344051446947,0.7642218322423844,1.2272727272727273,0.06250631305332323,0.010812141678027302,0.008354836751202915,0.0024573049268243868,0.013269446604851689,0.00933775872193267,0.003931687882919019,1.2272727272727273,1.1176470588235294,1.6
864691136239460668,305068,346.8107776,E,6P-IT,L6short-a,5606.03369140625,4105.9638671875,531.226689696312,492.7538399599393,3350,510,8217.811,5825.6626,27529664.0,2971088.0,8147.8613,4780.394,51,34,42,21,14,11,37,23,14,28,5606.1963,285916.0,6449.849,4284.706,145680.0,2968.8008,8636.286,120908.0,8739.895,2192.363525390625,24116.0,2208.35546875,4459.67578125,165008.0,4863.1279296875,5285.39111328125,121564.0,2757.0849609375,189968,212000,22393,683.0723877783568,514.3292803246643,895.7200000000003,0.27450980392156865,0.3783783783783784,0.4228794471103401,0.7327402307766896,0.3333333333333333,0.015223880597014926,0.8158863809716573,1.2142857142857142,0.0909734097356216,0.010229023283823763,0.0034096744279412546,0.006819348855882509,0.01242095684464314,0.0034096744279412546,0.009011282416701887,1.2142857142857142,1.0,1.3214285714285714
864691136275729677,311845,260.38337536,E,6P-IT,L6wm,0.0,3715.39453125,500.05537524819374,424.972413064092,2306,61,5010.399,3963.672,11553980.0,241784.0,3965.559,4248.3345,23,7,20,5,20,7,3,0,18,2,4350.7827,100068.0,4005.0366,3556.5715,24896.0,4111.6187,4567.0,91340.0,4184.0566,3556.571533203125,24896.0,4111.61865234375,2909.333251953125,8728.0,1969.13330078125,,0.0,,183312,261872,24592,639.1631753271173,710.7377337626768,983.6800000000003,0.8695652173913043,6.666666666666667,0.912779310069153,10.465169569202567,0.9,0.00997398091934085,0.6206608694189399,1.15,inf,0.005383008407796531,0.004844707567016877,0.0005383008407796531,0.00619045966896601,0.005383008407796531,0.0008074512611694796,1.15,1.1111111111111112,1.5
864691136239387708,307202,301.90567424,E,6P-IT,L6short-a,5357.8056640625,2819.373046875,141.63129061460495,89.95484567328924,2890,360,7552.288,6327.689,21826112.0,2277968.0,7519.8477,6574.2827,35,31,22,19,15,12,20,19,12,10,6351.3145,222296.0,5471.2056,6335.484,196400.0,5035.529,8520.267,127804.0,5810.123,4092.333251953125,49108.0,3739.62451171875,4724.60009765625,94492.0,4570.7822265625,7752.21044921875,147292.0,5230.07421875,186480,232672,23527,661.9667452942624,595.4866305976592,941.0800000000003,0.42857142857142855,0.75,0.5749271241947673,1.3525377809761674,0.5454545454545454,0.012110726643598616,1.025050588180689,1.5909090909090908,0.06719168677854466,0.00780315326642739,0.004256265418051304,0.0035468878483760867,0.012414107469316303,0.00532033177256413,0.007093775696752173,1.5909090909090908,1.25,2.0
864691136107855065,311914,281.57427712000003,E,6P-IT,L6wm,1588.959716796875,2955.89013671875,439.50846177339554,330.0866220108493,1761,108,7806.031,6540.3335,13746420.0,706356.0,7097.9883,6755.0303,6,10,6,8,5,3,1,7,5,1,2901.3333,17408.0,2212.7324,10383.6,103836.0,13779.491,2256.8,11284.0,1839.2615,17397.333984375,52192.0,23031.25390625,6124.0,6124.0,0.0,7377.71435546875,51644.0,3714.893310546875,192496,262864,24170,675.413549768993,717.8923876902827,966.8000000000003,0.8333333333333334,5.0,0.6482077205882353,1.8425865447419987,0.8333333333333334,0.0034071550255536627,0.5957596252054335,1.0,0.06796899811765725,0.002029845401040659,0.0016915378342005493,0.0003383075668401099,0.002029845401040659,0.0016915378342005493,0.0003383075668401099,1.0,1.0,1.0
864691134919529994,269504,295.39680256,E,6P-IT,L6tall-a,2552.51806640625,3413.0625,528.6364761590958,489.6333897814999,2310,152,7461.962,4656.5,17237132.0,707788.0,6747.91,3193.6086,45,10,37,10,25,6,20,4,25,12,4809.3335,216420.0,3187.335,2430.8,24308.0,1501.4064,5660.96,141524.0,3814.176,1990.6666259765625,11944.0,1564.4034423828125,3744.800048828125,74896.0,1622.7283935546875,3091.0,12364.0,1112.688232421875,176416,211872,22512,629.1152893244863,509.09469013637624,900.4800000000002,0.5555555555555556,1.25,0.6539321689307828,1.8896069215979492,0.6756756756756757,0.01948051948051948,0.6768115145855079,1.2162162162162162,0.059549039828738354,0.01084070391327437,0.007324799941401601,0.0035159039718727684,0.01318463989452288,0.007324799941401601,0.00585983995312128,1.2162162162162162,1.0,1.6666666666666667
864691136425073455,269402,311.95955200000003,E,6P-IT,L6tall-a,9743.076171875,3049.825927734375,543.509068749845,488.01141131445377,2222,836,6954.763,6943.7417,15453484.0,5804968.0,6242.089,6189.597,46,17,34,15,19,6,27,11,16,18,5236.3477,240872.0,6762.29,5662.1177,96256.0,3149.157,8874.737,168620.0,9014.137,4950.0,29700.0,3079.22314453125,2676.0,72252.0,2204.0400390625,6050.54541015625,66556.0,3118.861083984375,172480,211312,21821,613.6264288614846,505.4910339988316,872.8400000000003,0.41304347826086957,0.7037037037037037,0.7000398551927995,2.3337762276476774,0.47058823529411764,0.020702070207020702,0.7285661715292249,1.3529411764705883,0.08580452264278218,0.011148177242121353,0.005246201055115931,0.005901976187005422,0.0150828280334583,0.006229863752950168,0.008852964280508134,1.3529411764705883,1.1875,1.5
864691134949041148,309331,279.59918592,E,6P-IT,L6tall-c,818.5819091796875,2318.271484375,544.6766565293074,464.75652774479664,2292,47,7253.2563,4877.1064,16624464.0,229224.0,6395.181,3884.1304,53,5,41,5,31,5,22,0,29,12,5756.151,305076.0,6458.5464,2128.8,10644.0,1547.9935,7012.516,217388.0,7662.6475,2128.800048828125,10644.0,1547.9935302734375,3985.818115234375,87688.0,3520.693603515625,,0.0,,182000,250576,23498,637.8731906318421,665.2682791861596,939.9200000000003,0.5849056603773585,1.4090909090909092,0.7125699825617223,2.4791077456436454,0.7073170731707317,0.0231239092495637,0.9886676411489905,1.2926829268292683,0.057416367834343375,0.017685590439401662,0.01250932006689386,0.005176270372507803,0.022861860811909464,0.013372031795645159,0.009489829016264306,1.2926829268292683,1.0689655172413792,1.8333333333333333
864691135279678881,306953,285.86278912,E,6P-IT,L6short-a,4441.822265625,3305.6328125,314.90573754906654,225.567135493836,2597,394,9265.508,7748.761,24062524.0,3053012.0,9320.964,6582.131,10,69,9,51,5,38,5,31,5,4,8922.8,89228.0,8104.904,8805.682,607592.0,7153.6074,15607.2,78036.0,6206.663,10893.89453125,413968.0,8625.83984375,2238.39990234375,11192.0,1869.18701171875,6245.935546875,193624.0,3286.299560546875,180576,234992,22181,637.6318060114295,602.6730473752219,887.2400000000002,0.5,1.0,0.8745685210920339,6.972480343102216,0.5555555555555556,0.003850596842510589,0.7856286972284524,1.1111111111111112,0.0887023335105375,0.002722625442840228,0.0015125696904667932,0.0012100557523734346,0.0030251393809335864,0.0015125696904667932,0.0015125696904667932,1.1111111111111112,1.0,1.25
864691136380718037,305059,263.53958912,E,6P-IT,L6short-b,8095.384765625,2368.03857421875,476.6475932504982,434.4123216300895,1886,771,6706.1953,7115.6626,12647884.0,5486176.0,6150.563,5184.656,41,54,35,27,15,10,26,44,15,20,5229.756,214420.0,4206.9814,7593.2593,410036.0,5994.0894,7012.8,105192.0,5301.24,7387.60009765625,73876.0,3743.23583984375,4201.0771484375,109228.0,2967.113525390625,7640.0,336160.0,6395.1943359375,187024,221344,22212,668.083665972692,550.536707333945,888.4800000000002,0.36585365853658536,0.5769230769230769,0.49058856449958027,0.9630497674588934,0.42857142857142855,0.021739130434782608,0.796439728868107,1.1714285714285715,0.0952394509120624,0.01478016463965204,0.006334356274136589,0.00844580836551545,0.017313907149306675,0.006334356274136589,0.010979550875170087,1.1714285714285715,1.0,1.3
864691134990435194,307176,403.21400832,E,6P-IT,L6short-a,5706.6337890625,2373.3779296875,92.177682608366,66.96298283392116,3513,469,8558.904,8086.081,30067432.0,3792372.0,8290.962,7214.87,52,31,24,26,9,20,43,11,9,15,4990.385,259500.0,4059.5574,8867.483,274892.0,7216.4844,4863.1113,43768.0,4717.647,10435.0,208700.0,8247.958984375,5017.0234375,215732.0,3907.293212890625,6017.45458984375,66192.0,3238.114013671875,181984,229040,23735,645.3173784744184,579.4465051462084,949.4000000000002,0.17307692307692307,0.20930232558139536,0.16866281310211947,0.20288135278957226,0.375,0.0148021633931113,1.480168815955305,2.1666666666666665,0.08218505292890864,0.01011216953684239,0.0037920635763158965,0.006320105960526495,0.021909700663158515,0.0037920635763158965,0.01811763708684262,2.1666666666666665,1.0,2.8666666666666667
864691136138335101,274050,300.49959936,E,6P-IT,L6short-b,8267.669921875,2783.538818359375,381.9807580113411,276.4484000842904,3272,614,6942.182,7890.072,22714820.0,4844504.0,6921.6216,7732.6797,54,45,31,32,19,23,35,22,19,12,5375.926,290300.0,6463.892,6295.911,283316.0,5151.3906,8276.632,157256.0,9464.027,5746.78271484375,132176.0,5684.677734375,3801.257080078125,133044.0,2965.4228515625,6870.0,151140.0,4455.39892578125,176448,242656,24120,618.5107927068664,631.7732764156731,964.8000000000003,0.35185185185185186,0.5428571428571428,0.5417016879090596,1.1819849072487298,0.6129032258064516,0.01650366748166259,1.1754820800122792,1.7419354838709677,0.07426518061339739,0.0111369023473046,0.006825843374154433,0.0043110589731501685,0.019399765379175756,0.006825843374154433,0.012573922005021325,1.7419354838709677,1.0,2.9166666666666665
864691135271103653,309447,257.37101312,E,6P-IT,L6tall-c,1930.03466796875,2389.803466796875,735.2784388698637,640.5509687725712,2098,156,7351.914,4713.231,15424316.0,735264.0,6838.24,4409.907,32,32,22,22,18,21,14,11,15,7,4529.375,144940.0,4043.3955,4976.125,159236.0,4250.7075,5791.5557,104248.0,4414.459,3713.142822265625,77976.0,4340.04833984375,2906.571533203125,40692.0,2762.64404296875,7387.27294921875,81260.0,2782.87744140625,181136,257456,24289,632.0318157148214,692.3823470307086,971.5600000000003,0.5625,1.2857142857142858,0.7192493445563681,2.561879484911039,0.6818181818181818,0.015252621544327931,0.8778964584949791,1.4545454545454546,0.08082756366453303,0.009205777925114176,0.006276666767123302,0.002929111157990874,0.01339022243652971,0.007532000120547962,0.005858222315981748,1.4545454545454546,1.2,2.0
864691135325309084,305355,316.03048448,E,6P-IT,L6short-a,5342.1435546875,3624.30224609375,442.520225584507,415.19311938750985,2988,381,9477.6455,7197.4487,28319204.0,2742228.0,9301.206,6330.208,30,11,12,9,2,6,28,5,2,10,4453.7334,133612.0,2961.363,5425.8184,59684.0,3829.2424,1884.0,3768.0,172.0,5440.66650390625,32644.0,4452.42626953125,4637.28564453125,129844.0,2981.3740234375,5408.0,27040.0,2910.209228515625,190896,225568,23837,682.0401460272726,568.7182810965788,953.4800000000002,0.06666666666666667,0.07142857142857142,0.02820105978504925,0.029019438711068667,0.16666666666666666,0.010040160642570281,0.8244345523943118,2.5,0.07131968583391754,0.003310982138129767,0.0005518303563549611,0.0027591517817748055,0.008277455345324416,0.0005518303563549611,0.007725624988969455,2.5,1.0,2.8
864691135212492992,305096,273.86888192,E,6P-IT,L6short-b,3949.224853515625,2183.697021484375,441.63007548451424,398.4759680605523,2156,373,6778.5938,6379.8604,14614648.0,2379688.0,6539.7886,5083.528,15,29,13,19,6,9,9,20,6,7,6016.533,90248.0,5436.7246,5344.1377,154980.0,3968.0217,8134.0,48804.0,5327.5166,5450.22216796875,49052.0,4158.83154296875,4604.888671875,41444.0,5035.853515625,5296.39990234375,105928.0,3878.1494140625,192144,222048,22435,688.2403028180335,555.1269412152434,897.4000000000002,0.4,0.6666666666666666,0.5407765269036433,1.1775890358073544,0.46153846153846156,0.006957328385899814,0.9873164540630514,1.1538461538461537,0.09444891436555025,0.005953206819489642,0.002747633916687527,0.0032055729028021146,0.006869084791718817,0.002747633916687527,0.00412145087503129,1.1538461538461537,1.0,1.2857142857142858
